Date,Dish Name,Quantity Sold,Price per Dish (INR),Total Sales (INR),Ingredients,Feedback
01-01-2021,Masala Dosa,31.0,40,1240.0,"Rice, Lentils, Spices",
2021-01-01,Vada Pav,71.0,25,1775.0,"Potato, Bread, Spices",Not good
01/01/2021,sandwich,22.0,20,440.0,"Bread, Cheese, Vegetables",Not good
01/01/2021,Pani Puri,,10,,"Flour, Water, Spices",
2021-01-01,Biryani,48.0,120,5760.0,"Rice, Meat, Spices",Too spicy
01/01/2021,CHOLE BHATURE,,50,,"Chickpeas, Flour, Spices",Too spicy
01/01/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Very tasty
01/01/2021,Samosa,57.0,15,855.0,"Potato, Peas, Spices",Average
01/01/2021,Lassi,,30,,"Yogurt, Sugar, Water",
01-01-2021,Chaat,,30,,"Pani, Sev, Spices",Average
01/01/2021,Maaasala Dosa,,35,,"Rice, Lentils, Spices",Very tasty
2021-01-01,Vadd Pav,55.0,22,1210.0,"Potato, Bread, Spices",
01/01/2021,Chole Bhture,8.0,55,440.0,"Chickpeas, Flour, Spices",
01-01-2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",
02/01/2021,Masala Dosa,,40,,"Rice, Lentils, Spices",Too spicy
02/01/2021,Vada Pav,,25,,"Potato, Bread, Spices",
2021-01-02,Sandwich,,20,,"Bread, Cheese, Vegetables",Very tasty
01-02-2021,Pani Puri,,10,,"Flour, Water, Spices",Not good
2021-01-02,Biryani,82.0,120,9840.0,"Rice, Meat, Spices",
01-02-2021,Chole Bhature,,50,,"Chickpeas, Flour, Spices",Average
02/01/2021,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Average
02/01/2021,samosa,,15,,"Potato, Peas, Spices",Not good
02/01/2021,Lassi,77.0,30,2310.0,"Yogurt, Sugar, Water",Very tasty
02/01/2021,Chaat,76.0,30,2280.0,"Pani, Sev, Spices",Too spicy
02/01/2021,Maaasala Dosa,81.0,35,2835.0,"Rice, Lentils, Spices",
02/01/2021,vadd pav,58.0,22,1276.0,"Potato, Bread, Spices",Not good
2021-01-02,Chole Bhture,56.0,55,3080.0,"Chickpeas, Flour, Spices",Not good
2021-01-02,Pav Bhaji,,45,,"Potatoes, Vegetables, Bread",Not good
2021-01-03,Masala Dosa,15.0,40,600.0,"Rice, Lentils, Spices",Very tasty
01-03-2021,Vada Pav,99.0,25,2475.0,"Potato, Bread, Spices",Not good
